Concepto;Valor
URL Base;https://buenosaires.gob.ar/infracciones
Fecha inicio;2025-05-25 21:24:13
Fecha fin;2025-05-26 09:35:32
Duración total;12:11:19.394033
Profundidad máxima;4
Páginas visitadas;4884
Enlaces inválidos encontrados;7447

Profundidad;Enlaces Inválidos
Nivel 0;2
Nivel 1;37
Nivel 2;256
Nivel 3;5649
Nivel 4;1503
