Concepto;Valor
URL Base;https://buenosaires.gob.ar/infracciones
Fecha inicio;2025-05-27 20:53:26
Fecha fin;2025-05-27 20:53:38
Duración total;0:00:12.639745
Profundidad máxima;3
Páginas visitadas;2
Enlaces inválidos totales encontrados;1
Enlaces inválidos únicos en CSV;1
Duplicados eliminados;0

Profundidad;Enlaces Inválidos Únicos
Nivel 0;1
Nivel 1;0
Nivel 2;0
Nivel 3;0
