URL_PAGINA_ORIGEN;URL_DESTINO_INVALIDA
https://buenosaires.gob.ar/infracciones;https://buenosaires.gob.ar/terminos-y-condiciones-consulta-de-infracciones
https://buenosaires.gob.ar/jefaturadegabinete/infracciones;https://buenosaires.gob.ar/gobierno/transparencia 
https://boletinoficial.buenosaires.gob.ar;http://www.reddeboletines.gob.ar/
https://boletinoficial.buenosaires.gob.ar;"https://boletinoficial.buenosaires.gob.ar/filtraResultados(); return false;"
https://formulario-legajo.buenosaires.gob.ar/consulta-legajo/;https://buenosaires.gob.ar/rss/noticias
https://formulario-legajo.buenosaires.gob.ar/consulta-legajo/;https://disfrutemosba.buenosaires.gob.ar/
https://formulario-legajo.buenosaires.gob.ar/consulta-legajo/;https://www.turismo.buenosaires.gob.ar/es
https://formulario-legajo.buenosaires.gob.ar/consulta-legajo/;https://formulario-legajo.buenosaires.gob.ar/consulta-legajo/close_bweb_header()
https://formulario-legajo.buenosaires.gob.ar/consulta-legajo/;https://buenosaires.gob.ar/aplicacionesmoviles
https://formulario-legajo.buenosaires.gob.ar/consulta-legajo/;https://www.buenosaires.gob.ar/oficiosjudiciales
https://formulario-legajo.buenosaires.gob.ar/consulta-legajo/;https://buenosaires.gob.ar/justiciayseguridad/licencias-de-conducir
https://formulario-legajo.buenosaires.gob.ar/consulta-legajo/;https://www.buenosaires.gob.ar/gestion-comunal-y-atencion-ciudadana/terminos-y-condiciones-consulta-de-infracciones
https://formulario-legajo.buenosaires.gob.ar/consulta-legajo/;https://buenosaires.gob.ar/justiciayseguridad/licencias-de-conducir/consulta-de-infracciones/consulta-de-legajo
https://www.buenosaires.gob.ar/gobierno/transparencia;https://www.buenosaires.gob.ar/igualdaddegenero
https://www.buenosaires.gob.ar/gobierno/transparencia;https://www.buenosaires.gob.ar/gobierno/transparencia 
https://www.buenosaires.gob.ar/gobierno/transparencia;https://www.buenosaires.gob.ar/legalytecnica/normativa/boletin-oficial-y-registro/oficios-judiciales
https://www.buenosaires.gob.ar/gobierno/transparencia;https://plandegobierno.buenosaires.gob.ar/
https://www.buenosaires.gob.ar/gobierno/transparencia;https://www.buenosaires.gob.ar/jefedegobierno/legalytecnica/informacionpublica
https://www.buenosaires.gob.ar/gobierno/transparencia;https://www.buenosaires.gob.ar/jefedegobierno/transparencia/participacion-ciudadana
https://www.buenosaires.gob.ar/gobierno/transparencia;https://www.buenosaires.gob.ar/jefedegobierno/transparencia/proyectos-especiales
https://buenosaires.gob.ar/tramites/resolucion-de-infraccion-por-retencion-de-licencia-o-vehiculo;https://www.pinterest.es/buenosaires/
https://buenosaires.gob.ar/tramites/resolucion-de-infraccion-por-retencion-de-licencia-o-vehiculo;https://mapa.buenosaires.gob.ar/comollego/?dir=Emilio Mitre 956
https://buenosaires.gob.ar/tramites/resolucion-de-infraccion-por-retencion-de-licencia-o-vehiculo;https://ash.buenosaires.gob.ar/comunas
https://buenosaires.gob.ar/tramites/resolucion-de-infraccion-por-retencion-de-licencia-o-vehiculo;https://buenosaires.gob.ar/jefedegobierno/legalytecnica/normativa/boletin-oficial-y-registro/oficios-judiciales
https://buenosaires.gob.ar/tramites/resolucion-de-infraccion-por-retencion-de-licencia-o-vehiculo;https://ash.buenosaires.gob.ar/justiciayseguridad/infracciones
https://buenosaires.gob.ar/tramites/resolucion-de-infraccion-por-retencion-de-licencia-o-vehiculo;https://buenosaires.gob.ar/gobierno/atencion-ciudadana
