Concepto;Valor
URL Base;https://buenosaires.gob.ar/infracciones
Fecha inicio;2025-05-27 11:51:25
Fecha fin;2025-05-27 12:33:50
Duración total;0:42:24.783619
Profundidad máxima;2
Páginas visitadas;179
Enlaces inválidos totales encontrados;171
Enlaces inválidos únicos en CSV;171
Duplicados eliminados;0

Profundidad;Enlaces Inválidos Únicos
Nivel 0;1
Nivel 1;21
Nivel 2;149
