URL_PAGINA_ORIGEN;URL_DESTINO_INVALIDA;DESTINO_ACTIVO
https://buenosaires.gob.ar/tramites/gestion-privada-rendiciones-del-aporte-estatal;http://www.adeepra.com.ar/documentos/Res163-03.html;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/inscripcion-al-registro-del-distrito-tecnologico;https://www.buenosaires.gob.ar/economiayfinanzas/distritoseconomicos/distrito-tecnologico;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/solicitud-de-turnos-en-centros-de-salud-y-accion-comunitaria-cesac;https://tinyurl.com/Llamaal147;Enlace roto - Error: No connection adapters were found for 'tel:147'
https://buenosaires.gob.ar/tramites/dispositivos-publicitarios;https://buenosaires.gob.ar/tramites/inscripcion-al-registro-unico-de-postulantes-para-el-otorgamiento-de-permisos-de-uso;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/dispositivos-publicitarios;https://buenosaires.gob.ar/tramites/permiso-de-uso-precario-en-mercado-de-pulgas;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/dispositivos-publicitarios;https://buenosaires.gob.ar/tramites/permiso-de-uso-precario-en-paseos-comerciales-once;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/asesoramiento-juridico;https://www.buenosaires.gob.ar/desarrolloeconomico/trabajo/negociaciones-laborales/asesoramiento-juridico;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/programa-ciudadania-portena;https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ciudadaniaportena/ciudadania-portena-con-todo-derecho;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/registro-de-plano-de-obra-civil-registro-en-etapa-proyecto;https://www.buenosaires.gob.ar/tramites/permiso-de-obra;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/seguridad-en-establecimientos-de-salud-privados;http://www.buenosaires.gov.ar/areas/seguridad_justicia/seguridad_urbana/sistema_unico_denuncias/index.php?menu_id=14105;"Enlace roto - Error: HTTPSConnectionPool(host='www.buenosaires.gov.ar', port=443): Max retries exceeded with url: /areas/seguridad_justicia/seguridad_urbana/sistema_unico_denuncias/index.php?menu_id=14105 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.buenosaires.gov.ar'. (_ssl.c:1000)"")))"
