Concepto;Valor
URL Base;https://buenosaires.gob.ar/infracciones
Fecha inicio;2025-05-27 13:08:38
Fecha fin;2025-05-28 11:31:31
Duración total;22:22:52.606017
Profundidad máxima;3
Páginas visitadas;2422
Enlaces inválidos totales encontrados;738
Enlaces inválidos únicos en CSV;738
Duplicados eliminados;0

Profundidad;Enlaces Inválidos Únicos
Nivel 0;1
Nivel 1;20
Nivel 2;145
Nivel 3;572
