Concepto;Valor
URL Base;https://buenosaires.gob.ar/infracciones
Fecha inicio;2025-05-27 10:10:29
Fecha fin;2025-05-27 10:53:21
Duración total;0:42:51.724820
Profundidad máxima;2
Páginas visitadas;179
Enlaces inválidos totales encontrados;169
Enlaces inválidos únicos en CSV;169
Duplicados eliminados;0

Profundidad;Enlaces Inválidos Únicos
Nivel 0;2
Nivel 1;20
Nivel 2;147
