Concepto;Valor
URL Base;https://buenosaires.gob.ar/infracciones
Fecha inicio;2025-05-27 20:53:51
Fecha fin;2025-05-28 17:33:36
Duración total;20:39:44.997239
Profundidad máxima;4
Páginas visitadas;6771
Enlaces inválidos totales encontrados;2034
Enlaces inválidos únicos en CSV;2034
Duplicados eliminados;0

Profundidad;Enlaces Inválidos Únicos
Nivel 0;1
Nivel 1;32
Nivel 2;139
Nivel 3;618
Nivel 4;1244
