Concepto;Valor
URL Base;https://buenosaires.gob.ar/infracciones
Fecha inicio;2025-05-27 11:31:37
Fecha fin;2025-05-27 11:45:33
Duración total;0:13:55.980996
Profundidad máxima;2
Páginas visitadas;179
Enlaces inválidos totales encontrados;164
Enlaces inválidos únicos en CSV;164
Duplicados eliminados;0

Profundidad;Enlaces Inválidos Únicos
Nivel 0;1
Nivel 1;21
Nivel 2;142
