URL_PAGINA_ORIGEN;URL_DESTINO_INVALIDA;DESTINO_ACTIVO
https://buenosaires.gob.ar/tramites/asesoramiento-sobre-violencia-en-el-trabajo;https://wa.link/ug2p02%22;Enlace funciona
https://buenosaires.gob.ar/tramites/renovacion-en-el-registro-de-generadores-especiales-de-residuos-solidos-urbanos;https://ciudadverde.gob.ar/recoleccion-de-residuos-no-reciclables/;"Enlace roto - Error: HTTPSConnectionPool(host='ciudadverde.gob.ar', port=443): Max retries exceeded with url: /recoleccion-de-residuos-no-reciclables/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001DCFE22EC30>: Failed to resolve 'ciudadverde.gob.ar' ([Errno 11002] getaddrinfo failed)""))"
https://buenosaires.gob.ar/tramites/procedimiento-para-la-integracion-de-nuevas-actividades-economicas-en-el-barrio-padre;https://ash.buenosaires.gob.ar/emergencias/defensa-civil;Ignorado (ash)
https://buenosaires.gob.ar/tramites/procedimiento-para-la-integracion-de-nuevas-actividades-economicas-en-el-barrio-padre;https://ash.buenosaires.gob.ar/desarrollourbano/institucional-subsecretaria-de-registros-interpretaciones-y-catastro/dg-registro-de-obra-y-catastro;Ignorado (ash)
https://buenosaires.gob.ar/tramites/procedimiento-para-la-integracion-de-nuevas-actividades-economicas-en-el-barrio-padre;https://ash.buenosaires.gob.ar/agenciaambiental;Ignorado (ash)
https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-de-generadores-especiales-de-residuos-solidos-urbanos-para;https://ciudadverde.gob.ar/generadores-especiales/;"Enlace roto - Error: HTTPSConnectionPool(host='ciudadverde.gob.ar', port=443): Max retries exceeded with url: /generadores-especiales/ (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001DCFE22FF80>: Failed to resolve 'ciudadverde.gob.ar' ([Errno 11002] getaddrinfo failed)""))"
https://buenosaires.gob.ar/tramites/inscripcion-al-registro-de-promotores-de-infraestructura-del-distrito-de-diseno;https://www.buenosaires.gob.ar/economiayfinanzas/distritoseconomicos/distritodediseno;Enlace no existe en página
https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-de-actividades-contaminantes-por-ruidos-y-vibraciones-rac;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/99330;Enlace funciona
https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-de-actividades-contaminantes-por-ruidos-y-vibraciones-rac;https://dghpsh.agcontrol.gob.ar/EDA/Account/Login?ReturnUrl=%2fEDA%2f;Enlace funciona
https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-de-actividades-contaminantes-por-ruidos-y-vibraciones-rac;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/344998;Enlace funciona
https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-de-actividades-contaminantes-por-ruidos-y-vibraciones-rac;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/67210;Enlace funciona
https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-de-actividades-contaminantes-por-ruidos-y-vibraciones-rac;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/270403;Enlace funciona
https://buenosaires.gob.ar/tramites/obtencion-clave-ciudad;https://auth.afip.gob.ar/contribuyente_/login.xhtml;Enlace funciona
https://buenosaires.gob.ar/tramites/gestion-privada-autorizacion-de-matricula;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/40512;Enlace funciona
