Name;URLs_encontradas;URL_Invalida
EP01CUX01 Puntos verdes;['https://ciudadverde.gob.ar/puntos-verdes/', 'https://gestioncolaborativa.buenosaires.gob.ar/categorias/24'];['https://ciudadverde.gob.ar/puntos-verdes/']
EP01CUX01 Curso basura cero;['https://docs.google.com/forms/d/e/1FAIpQLScPlUhMAQH_XVpqDAPS8uRQIfpj2jFIFV4aUMOA1-4KI2hMxw/viewform', 'https://gestioncolaborativa.buenosaires.gob.ar/confirmacion/1523641870270', 'https://ciudadverde.gob.ar/encargados-y-administradores-de-edificios/'];['https://ciudadverde.gob.ar/encargados-y-administradores-de-edificios/']
EP01CUX01 Centro de Reciclaje;['https://ciudadverde.gob.ar/centro-de-reciclaje-de-la-ciudad/'];['https://ciudadverde.gob.ar/centro-de-reciclaje-de-la-ciudad/']
EDU03CUX07 Ficha censal;['http://sistemas1.buenosaires.edu.ar/wsad/ficha_censal.php/'];['http://sistemas1.buenosaires.edu.ar/wsad/ficha_censal.php/']
EDU03CUX07 Declaración jurada;['http://sistemas1.buenosaires.edu.ar/wsad/declaracion_jurada.php/'];['http://sistemas1.buenosaires.edu.ar/wsad/declaracion_jurada.php/']
DH01CUX01 Sedes de Atención Social;['https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/listado-serviciossocialeszonales', 'https://formulario-sigeci.buenosaires.gob.ar/InicioTramiteComun?idPrestacion=4346', 'https://formulario-sigeci.buenosaires.gob.ar/InicioTramiteComun?idPrestacion=4345'];['https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/listado-serviciossocialeszonales']
DH01CUX01 Subsidios Malvinas/Cromañón;['https://www.buenosaires.gob.ar/educacion/estudiantes/sistema-educativo/adultos-y-adolescentes/ventanilla-unica-de-adultos-vua', 'https://www.buenosaires.gob.ar/salud/programasdesalud/otros-programas/cromanon', 'https://trabajo.buenosaires.gob.ar/', 'https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/listado-serviciossocialeszonales'];['https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/listado-serviciossocialeszonales']
DH01CUX01 Hablar con alguien subsidios;['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html'];['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html']
DH01CUX01 Hablar con alguien 690;['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html'];['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html']
CU03CUX07 Beneficios;['https://pasecultural.buenosaires.gob.ar/home/360-dondeusarlatarjeta'];['https://pasecultural.buenosaires.gob.ar/home/360-dondeusarlatarjeta']
